dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.646266,5.090371,0.002000,0.200000,10.000000,500.000000,2.506974
0.020000,23.646927,5.089885,0.002820,0.040978,-7.951108,-897.555384,2.507543
0.020000,23.648029,5.089076,0.004188,0.068402,1.371199,466.115355,2.508493
0.020000,23.641468,5.093882,0.012321,0.406672,16.913529,777.116455,2.509828
0.020000,23.628938,5.103035,0.027838,0.775827,18.457747,77.210944,2.511551
0.020000,23.613618,5.114181,0.046784,0.947320,8.574631,-494.155817,2.513672
0.020000,23.595503,5.127296,0.069148,1.118189,8.543441,-1.559494,2.516198
0.020000,23.574596,5.142346,0.094908,1.288022,8.491666,-2.588743,2.519139
0.020000,23.550883,5.159303,0.124060,1.457591,8.478445,-0.661045,2.522509
0.020000,23.524371,5.178118,0.156570,1.625512,8.396055,-4.119520,2.526319
0.020000,23.495049,5.198749,0.192423,1.792650,8.356909,-1.957316,2.530587
0.020000,23.462912,5.221145,0.231594,1.958534,8.294162,-3.137346,2.535332
0.020000,23.427961,5.245244,0.274047,2.122674,8.207003,-4.357950,2.540572
0.020000,23.390191,5.270982,0.319754,2.285307,8.131651,-3.767568,2.546331
0.020000,23.349601,5.298284,0.368671,2.445892,8.029251,-5.120005,2.552635
0.020000,23.306184,5.327074,0.420766,2.604750,7.942913,-4.316908,2.559514
0.020000,23.259940,5.357263,0.475992,2.761281,7.826553,-5.818027,2.566999
0.020000,23.210877,5.388749,0.534289,2.914859,7.678923,-7.381490,2.575125
0.020000,23.158992,5.421429,0.595609,3.065968,7.555439,-6.174172,2.583932
0.020000,23.104295,5.455184,0.659882,3.213680,7.385611,-8.491414,2.593464
0.020000,23.046795,5.489886,0.727042,3.358016,7.216767,-8.442193,2.603769
0.020000,22.986509,5.525395,0.797009,3.498305,7.014440,-10.116355,2.614899
0.020000,22.923447,5.561563,0.869707,3.634901,6.829828,-9.230588,2.626917
0.020000,22.857641,5.598220,0.945034,3.766363,6.573091,-12.836884,2.639883
0.020000,22.789123,5.635187,1.022888,3.892714,6.317531,-12.778005,2.653871
0.020000,22.717925,5.672275,1.103166,4.013900,6.059319,-12.910597,2.668958
0.020000,22.644106,5.709269,1.185736,4.128511,5.730528,-16.439527,2.685228
0.020000,22.567724,5.745946,1.270468,4.236579,5.403443,-16.354256,2.702773
0.020000,22.488848,5.782067,1.357221,4.337663,5.054186,-17.462848,2.721694
0.020000,22.407567,5.817374,1.445840,4.430937,4.663719,-19.523338,2.742096
0.020000,22.323976,5.851598,1.536165,4.516254,4.265823,-19.894805,2.764092
0.020000,22.238195,5.884452,1.628022,4.592867,3.830656,-21.758358,2.787799
0.020000,22.150347,5.915641,1.721243,4.661036,3.408424,-21.111580,2.813339
0.020000,22.060574,5.944859,1.815651,4.720398,2.968119,-22.015290,2.840831
0.020000,21.969025,5.971793,1.911080,4.771426,2.551416,-20.835150,2.870392
0.020000,21.875857,5.996129,2.007374,4.814709,2.164138,-19.363875,2.902127
