dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.500000,6.250000,0.002000,0.200000,10.000000,500.000000,2.506974
0.020000,24.500000,6.250000,0.008000,0.400000,10.000000,0.000000,2.507543
0.020000,24.500000,6.250000,0.018000,0.600000,10.000000,-0.000000,2.508493
0.020000,24.491888,6.255942,0.032000,0.800000,10.000000,0.000000,2.509828
0.020000,24.477355,6.266559,0.050000,1.000000,10.000000,-0.000000,2.511551
0.020000,24.459565,6.279502,0.072000,1.200000,10.000000,0.000000,2.513672
0.020000,24.438504,6.294750,0.098000,1.400000,10.000000,0.000000,2.516198
0.020000,24.414160,6.312275,0.128000,1.600000,10.000000,0.000000,2.519139
0.020000,24.386500,6.332054,0.162000,1.800000,10.000000,-0.000000,2.522509
0.020000,24.355513,6.354044,0.200000,2.000000,10.000000,0.000000,2.526319
0.020000,24.321164,6.378212,0.242000,2.200000,10.000000,-0.000000,2.530587
0.020000,24.283422,6.404514,0.288000,2.400000,10.000000,0.000000,2.535332
0.020000,24.242259,6.432896,0.338000,2.600000,10.000000,-0.000000,2.540572
0.020000,24.197635,6.463304,0.392000,2.800000,10.000000,0.000000,2.546331
0.020000,24.149513,6.495673,0.450000,3.000000,10.000000,0.000000,2.552635
0.020000,24.097841,6.529937,0.512000,3.200000,10.000000,0.000000,2.559514
0.020000,24.042571,6.566017,0.578000,3.400000,10.000000,-0.000000,2.566999
0.020000,23.983660,6.603823,0.648000,3.600000,10.000000,0.000000,2.575125
0.020000,23.921044,6.643262,0.722000,3.800000,10.000000,-0.000000,2.583932
0.020000,23.854667,6.684225,0.800000,4.000000,10.000000,0.000000,2.593464
0.020000,23.784462,6.726595,0.882000,4.200000,10.000000,0.000000,2.603769
0.020000,23.710365,6.770238,0.968000,4.400000,10.000000,-0.000000,2.614899
0.020000,23.632291,6.815014,1.058000,4.600000,10.000000,0.000000,2.626917
0.020000,23.550173,6.860757,1.152000,4.800000,10.000000,0.000000,2.639883
0.020000,23.463928,6.907287,1.250000,5.000000,10.000000,0.000000,2.653871
0.020000,23.373462,6.954410,1.352000,5.200000,10.000000,-0.000000,2.668958
0.020000,23.278697,7.001900,1.458000,5.400000,10.000000,0.000000,2.685228
0.020000,23.179538,7.049512,1.568000,5.600000,10.000000,0.000000,2.702773
0.020000,23.075890,7.096975,1.682000,5.800000,10.000000,0.000000,2.721694
0.020000,22.967662,7.143984,1.800000,6.000000,10.000000,-0.000000,2.742096
0.020000,22.854758,7.190206,1.922000,6.200000,10.000000,0.000000,2.764092
0.020000,22.737096,7.235266,2.048000,6.400000,10.000000,0.000000,2.787799
0.020000,22.614590,7.278755,2.178000,6.600000,10.000000,-0.000000,2.813339
0.020000,22.487171,7.320219,2.312000,6.800000,10.000000,0.000000,2.840831
0.020000,22.354784,7.359161,2.450000,7.000000,10.000000,0.000000,2.870392
0.020000,22.217402,7.395039,2.592000,7.200000,10.000000,0.000000,2.902127
0.020000,22.075008,7.427267,2.738000,7.400000,10.000000,-0.000000,2.936124
0.020000,21.927644,7.455214,2.888000,7.600000,10.000000,0.000000,2.972440
0.020000,21.775382,7.478216,3.042000,7.800000,10.000000,0.000000,3.011096
0.020000,21.618350,7.495579,3.200000,8.000000,10.000000,-0.000000,3.052058
0.020000,21.456739,7.506592,3.362000,8.200000,10.000000,0.000000,3.095226
0.020000,21.290799,7.510548,3.528000,8.400000,10.000000,0.000000,3.140425
0.020000,21.120858,7.506762,3.698000,8.600000,10.000000,-0.000000,3.187393
