dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.353734,7.409629,0.002000,0.200000,10.000000,500.000000,2.506974
0.020000,25.353073,7.410115,0.002820,0.040978,-7.951108,-897.555384,2.507543
0.020000,25.351971,7.410924,0.004188,0.068402,1.371199,466.115355,2.508493
0.020000,25.342309,7.418003,0.016164,0.598844,26.522085,1257.544304,2.509828
0.020000,25.325771,7.430083,0.036645,1.024019,21.258791,-263.164731,2.511551
0.020000,25.305512,7.444823,0.061699,1.252686,11.433338,-491.272661,2.513672
0.020000,25.281505,7.462205,0.091338,1.481949,11.463141,1.490172,2.516198
0.020000,25.253724,7.482203,0.125569,1.711548,11.479971,0.841515,2.519139
0.020000,25.222117,7.504805,0.164425,1.942813,11.563228,4.162841,2.522509
0.020000,25.186655,7.529971,0.207909,2.174223,11.570490,0.363105,2.526319
0.020000,25.147279,7.557676,0.256055,2.407273,11.652528,4.101901,2.530587
0.020000,25.103933,7.587884,0.308889,2.641705,11.721576,3.452379,2.535332
0.020000,25.056557,7.620549,0.366434,2.877255,11.777512,2.796782,2.540572
0.020000,25.005079,7.655627,0.428727,3.114672,11.870845,4.666665,2.546331
0.020000,24.949424,7.693062,0.495801,3.353687,11.950746,3.995034,2.552635
0.020000,24.889497,7.732800,0.567706,3.595251,12.078219,6.373668,2.559514
0.020000,24.825202,7.774772,0.644488,3.839103,12.192568,5.717450,2.566999
0.020000,24.756444,7.818897,0.726188,4.084977,12.293711,5.057159,2.575125
0.020000,24.683096,7.865096,0.812872,4.334217,12.461991,8.413995,2.583932
0.020000,24.605038,7.913267,0.904597,4.586254,12.601866,6.993760,2.593464
0.020000,24.522128,7.963304,1.001435,4.841917,12.783173,9.065323,2.603769
0.020000,24.434221,8.015080,1.103458,5.101124,12.960306,8.856663,2.614899
0.020000,24.341135,8.068465,1.210765,5.365359,13.211792,12.574309,2.626917
0.020000,24.242705,8.123294,1.323436,5.633558,13.409919,9.906334,2.639883
0.020000,24.138733,8.179387,1.441574,5.906866,13.665427,12.775391,2.653871
0.020000,24.028999,8.236546,1.565302,6.186436,13.978496,15.653457,2.668958
0.020000,23.913287,8.294531,1.694730,6.471390,14.247708,13.460621,2.685228
0.020000,23.791352,8.353078,1.829992,6.763096,14.585262,16.877712,2.702773
0.020000,23.662931,8.411883,1.971236,7.062216,14.956009,18.537335,2.721694
0.020000,23.527756,8.470594,2.118611,7.368739,15.326180,18.508524,2.742096
0.020000,23.385539,8.528814,2.272284,7.683625,15.744277,20.904883,2.764092
0.020000,23.235997,8.586080,2.432415,8.006586,16.148053,20.188783,2.787799
0.020000,23.078832,8.641869,2.599188,8.338654,16.603400,22.767371,2.813339
0.020000,22.913767,8.695579,2.772772,8.679178,17.026183,21.139154,2.840831
0.020000,22.740543,8.746529,2.953334,9.028084,17.445327,20.957172,2.870392
0.020000,22.558947,8.793948,3.141019,9.384279,17.809731,18.220229,2.902127
0.020000,22.368806,8.836977,3.335968,9.747419,18.156994,17.363147,2.936124
0.020000,22.170064,8.874662,3.538252,10.114198,18.338945,9.097544,2.972440
0.020000,21.962764,8.905973,3.747902,10.482526,18.416417,3.873582,3.011096
0.020000,21.747107,8.929811,3.964873,10.848534,18.300378,-5.801918,3.052058
0.020000,21.523483,8.945044,4.189015,11.207125,17.929587,-18.539586,3.095226
0.020000,21.292480,8.950547,4.420084,11.553429,17.315206,-30.719049,3.140425
0.020000,21.054928,8.945252,4.657694,11.880522,16.354617,-48.029441,3.187393
0.020000,20.811866,8.928212,4.901353,12.182945,15.121183,-61.671690,3.235784
0.020000,20.564539,8.898664,5.150439,12.454287,13.567064,-77.705938,3.285167
0.020000,20.317059,8.856617,5.401465,12.551322,4.851745,-435.765982,3.334509
0.020000,20.073419,8.802867,5.650964,12.474954,-3.818362,-433.505348,3.382789
0.020000,19.834663,8.738150,5.898336,12.368562,-5.319620,-75.062866,3.429591
0.020000,19.601640,8.663352,6.143069,12.236669,-6.594663,-63.752168,3.474559
0.020000,19.374980,8.579448,6.384760,12.084568,-7.605011,-50.517422,3.517413
0.020000,19.155093,8.487455,6.623115,11.917735,-8.341661,-36.832505,3.557949
0.020000,18.942190,8.388377,6.857943,11.741385,-8.817505,-23.792177,3.596034
0.020000,18.736307,8.283176,7.089146,11.560160,-9.061236,-12.186545,3.631600
0.020000,18.537340,8.172745,7.316705,11.377950,-9.110510,-2.463716,3.664634
0.020000,18.345075,8.057894,7.540662,11.197829,-9.006051,5.222971,3.695166
0.020000,18.159221,7.939349,7.761103,11.022082,-8.787374,10.933826,3.723255
0.020000,17.979440,7.817751,7.978146,10.852126,-8.497808,14.478293,3.748984
0.020000,17.805356,7.693660,8.191930,10.689225,-8.145046,17.638098,3.772448
0.020000,17.636586,7.567568,8.402602,10.533570,-7.782745,18.115062,3.793751
0.020000,17.472741,7.439902,8.610312,10.385530,-7.402008,19.036852,3.812996
0.020000,17.313445,7.311035,8.815208,10.244764,-7.038259,18.187437,3.830286
0.020000,17.158329,7.181297,9.017428,10.111010,-6.687693,17.528342,3.845718
0.020000,17.007044,7.050976,9.217104,9.983823,-6.359370,16.416108,3.859384
0.020000,16.859258,6.920333,9.414356,9.862595,-6.061382,14.899421,3.871365
0.020000,16.714660,6.789601,9.609290,9.746717,-5.793915,13.373363,3.881737
0.020000,16.572958,6.658994,9.802001,9.635546,-5.558535,11.769000,3.890564
0.020000,16.433880,6.528712,9.992570,9.528427,-5.355958,10.128822,3.897903
0.020000,16.297171,6.398940,10.181063,9.424673,-5.187701,8.412878,3.903802
0.020000,16.162597,6.269858,10.367537,9.323694,-5.048943,6.937862,3.908298
0.020000,16.029937,6.141639,10.552033,9.224810,-4.944226,5.235880,3.911420
0.020000,15.898988,6.014453,10.734581,9.127378,-4.871619,3.630357,3.913189
0.020000,15.769564,5.888472,10.915196,9.030765,-4.830609,2.050491,3.913616
0.020000,15.641492,5.763866,11.093884,8.934361,-4.820234,0.518770,3.912704
0.020000,15.514613,5.640811,11.270634,8.837521,-4.841977,-1.087172,3.910448
0.020000,15.388783,5.519489,11.445426,8.739620,-4.895078,-2.655036,3.906831
0.020000,15.263872,5.400084,11.618227,8.640053,-4.978339,-4.163082,3.901832
0.020000,15.139763,5.282795,11.788990,8.538132,-5.096023,-5.884169,3.895417
0.020000,15.016356,5.167824,11.957655,8.433231,-5.245079,-7.452810,3.887546
0.020000,14.893563,5.055387,12.124149,8.324696,-5.426758,-9.083946,3.878167
0.020000,14.771314,4.945709,12.288386,8.211870,-5.641279,-10.726082,3.867221
0.020000,14.649556,4.839028,12.450268,8.094099,-5.888531,-12.362567,3.854640
0.020000,14.528254,4.735593,12.609683,7.970743,-6.167802,-13.963555,3.840345
0.020000,14.407392,4.635662,12.766507,7.841195,-6.477431,-15.481461,3.824252
0.020000,14.286976,4.539504,12.920605,7.704908,-6.814342,-16.845552,3.806266
0.020000,14.167033,4.447394,13.071835,7.561511,-7.169836,-17.774712,3.786289
0.020000,14.047613,4.359612,13.220048,7.410629,-7.544083,-18.712354,3.764216
0.020000,13.928787,4.276435,13.365093,7.252245,-7.919237,-18.757670,3.739944
0.020000,13.810648,4.198133,13.506825,7.086597,-8.282378,-18.157041,3.713373
0.020000,13.693304,4.124963,13.645112,6.914380,-8.610846,-16.423417,3.684409
0.020000,13.576877,4.057155,13.779846,6.736679,-8.885064,-13.710922,3.652978
0.020000,13.461488,3.994910,13.910953,6.555363,-9.065813,-9.037443,3.619029
0.020000,13.347249,3.938382,14.038412,6.372976,-9.119354,-2.677009,3.582547
0.020000,13.234245,3.887679,14.162270,6.192878,-9.004893,5.723001,3.543565
0.020000,13.122518,3.842851,14.282655,6.019246,-8.681587,16.165337,3.502172
0.020000,13.012047,3.803893,14.399794,5.856971,-8.113766,28.391039,3.458526
0.020000,12.902731,3.770754,14.514023,5.711419,-7.277585,41.809071,3.412858
0.020000,12.794383,3.743344,14.625784,5.588058,-6.168063,55.476065,3.365477
0.020000,12.686727,3.721557,14.735623,5.491953,-4.805251,68.140627,3.316762
0.020000,12.579407,3.705287,14.844168,5.427272,-3.234025,78.561290,3.267149
0.020000,12.472019,3.694451,14.952102,5.396679,-1.529647,85.218918,3.217111
0.020000,12.367155,3.689063,15.057104,5.250099,-7.328994,-289.967392,3.172275
0.020000,12.189588,3.683759,15.234751,8.882354,181.612719,9447.085668,3.170641
0.020000,12.011968,3.678741,15.412442,8.884535,0.109037,-9075.184094,3.169037
0.020000,11.834297,3.674004,15.590176,8.886717,0.109118,0.004040,3.167464
