dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.585561,3.659724,0.002000,0.200000,10.000000,500.000000,6.281546
0.020000,0.584690,3.659725,0.002871,0.043553,-7.822343,-891.117135,6.282151
0.020000,0.583238,3.659726,0.004323,0.072585,1.451584,463.696337,6.283159
0.020000,0.594945,3.659734,0.016029,0.585329,25.637185,1209.280049,0.001385
0.020000,0.610330,3.659769,0.031414,0.769240,9.195578,-822.080361,0.003202
0.020000,0.629130,3.659850,0.050214,0.940016,8.538794,-32.839178,0.005423
0.020000,0.651347,3.660000,0.072432,1.110875,8.542973,0.208946,0.008050
0.020000,0.676974,3.660245,0.098061,1.281433,8.527880,-0.754647,0.011085
0.020000,0.706014,3.660617,0.127103,1.452122,8.534426,0.327303,0.014528
0.020000,0.738462,3.661151,0.159555,1.622590,8.523438,-0.549413,0.018381
0.020000,0.774316,3.661886,0.195417,1.793110,8.526001,0.128162,0.022644
0.020000,0.813571,3.662867,0.234684,1.963369,8.512918,-0.654148,0.027319
0.020000,0.856227,3.664141,0.277358,2.133702,8.516684,0.188301,0.032407
0.020000,0.902276,3.665761,0.323436,2.303877,8.508725,-0.397946,0.037908
0.020000,0.951714,3.667782,0.372916,2.474002,8.506235,-0.124505,0.043824
0.020000,1.004540,3.670267,0.425800,2.644190,8.509401,0.158280,0.050156
0.020000,1.060744,3.673278,0.482084,2.814229,8.501990,-0.370544,0.056901
0.020000,1.120323,3.676886,0.541773,2.984435,8.510265,0.413737,0.064062
0.020000,1.183271,3.681163,0.604866,3.154658,8.511177,0.045627,0.071636
0.020000,1.249581,3.686188,0.671366,3.324997,8.516917,0.286991,0.079623
0.020000,1.319244,3.692041,0.741275,3.495417,8.521015,0.204873,0.088019
0.020000,1.392254,3.698808,0.814597,3.666125,8.535416,0.720078,0.096823
0.020000,1.468602,3.706578,0.891340,3.837158,8.551653,0.811853,0.106029
0.020000,1.548281,3.715445,0.971510,4.008512,8.567679,0.801312,0.115633
0.020000,1.631279,3.725506,1.055116,4.180273,8.588058,1.018941,0.125628
0.020000,1.717587,3.736862,1.142168,4.352620,8.617349,1.464516,0.136008
0.020000,1.807197,3.749617,1.232681,4.525647,8.651328,1.698964,0.146763
0.020000,1.900096,3.763879,1.326669,4.699390,8.687168,1.791994,0.157882
0.020000,1.996273,3.779758,1.424148,4.873955,8.728261,2.054641,0.169354
0.020000,2.095718,3.797368,1.525139,5.049564,8.780427,2.608304,0.181165
0.020000,2.198417,3.816825,1.629666,5.226324,8.838024,2.879856,0.193300
0.020000,2.304359,3.838249,1.737752,5.404313,8.899422,3.069919,0.205739
0.020000,2.413529,3.861759,1.849425,5.583662,8.967468,3.402292,0.218465
0.020000,2.525916,3.887478,1.964717,5.764597,9.046776,3.965379,0.231456
0.020000,2.641505,3.915531,2.083662,5.947236,9.131940,4.258228,0.244689
0.020000,2.760283,3.946041,2.206296,6.131678,9.222062,4.506080,0.258137
0.020000,2.882234,3.979133,2.332657,6.318077,9.319970,4.895432,0.271774
0.020000,3.007345,4.014932,2.462789,6.506602,9.426279,5.315419,0.285571
0.020000,3.135601,4.053563,2.596737,6.697375,9.538603,5.616187,0.299495
0.020000,3.266987,4.095147,2.734546,6.890487,9.655644,5.852061,0.313515
0.020000,3.401488,4.139807,2.876268,7.086085,9.779865,6.211067,0.327597
0.020000,3.539090,4.187660,3.021953,7.284247,9.908098,6.411639,0.341703
0.020000,3.679778,4.238821,3.171655,7.485074,10.041342,6.662196,0.355799
0.020000,3.823537,4.293403,3.325427,7.688625,10.177568,6.811305,0.369845
0.020000,3.970356,4.351510,3.483327,7.894983,10.317930,7.018109,0.383802
0.020000,4.118576,4.412555,3.643625,8.014927,5.997190,-216.037019,0.397483
0.020000,4.266552,4.475842,3.804566,8.047037,1.605505,-219.584232,0.410718
0.020000,4.414289,4.541313,3.966161,8.079732,1.634708,1.460151,0.423498
0.020000,4.561796,4.608910,4.128419,8.112901,1.658477,1.188462,0.435818
0.020000,4.709082,4.678571,4.291348,8.146446,1.677249,0.938561,0.447673
0.020000,4.856157,4.750236,4.454953,8.180278,1.691596,0.717377,0.459057
0.020000,5.003032,4.823840,4.619239,8.214314,1.701797,0.510056,0.469969
0.020000,5.149721,4.899321,4.784209,8.248479,1.708275,0.323878,0.480406
0.020000,5.296238,4.976614,4.949863,8.282701,1.711093,0.140900,0.490368
0.020000,5.442598,5.055652,5.116202,8.316931,1.711478,0.019247,0.499855
0.020000,5.588820,5.136372,5.283224,8.351119,1.709402,-0.103786,0.508866
0.020000,5.734922,5.218706,5.450928,8.385220,1.705071,-0.216547,0.517405
0.020000,5.880925,5.302589,5.619312,8.419195,1.698745,-0.316286,0.525471
0.020000,6.026850,5.387954,5.788373,8.453013,1.690905,-0.392001,0.533068
0.020000,6.172722,5.474735,5.958106,8.486668,1.682756,-0.407446,0.540197
0.020000,6.318564,5.562866,6.128509,8.520134,1.673299,-0.472884,0.546862
0.020000,6.464403,5.652282,6.299577,8.553392,1.662869,-0.521498,0.553065
0.020000,6.610267,5.742916,6.471305,8.586442,1.652536,-0.516634,0.558808
0.020000,6.756185,5.834702,6.643691,8.619293,1.642530,-0.500313,0.564096
0.020000,6.902188,5.927577,6.816730,8.651936,1.632142,-0.519405,0.568930
0.020000,7.048306,6.021474,6.990417,8.684365,1.621474,-0.533408,0.573314
0.020000,7.194574,6.116329,7.164750,8.716618,1.612637,-0.441851,0.577249
0.020000,7.341026,6.212077,7.339723,8.748690,1.603613,-0.451188,0.580740
0.020000,7.487697,6.308654,7.515335,8.780585,1.594749,-0.443186,0.583787
0.020000,7.634623,6.405996,7.691582,8.812343,1.587860,-0.344476,0.586393
0.020000,7.781844,6.504039,7.868461,8.843968,1.581296,-0.328175,0.588561
0.020000,7.929397,6.602719,8.045971,8.875475,1.575337,-0.297955,0.590290
0.020000,8.077322,6.701972,8.224109,8.906899,1.571195,-0.207115,0.591583
0.020000,8.225662,6.801734,8.402874,8.938253,1.567708,-0.174306,0.592441
0.020000,8.374456,6.901941,8.582265,8.969559,1.565269,-0.121959,0.592864
0.020000,8.523749,7.002528,8.762282,9.000844,1.564274,-0.049771,0.592852
0.020000,8.673584,7.103430,8.942925,9.032128,1.564209,-0.003243,0.592406
0.020000,8.824005,7.204582,9.124193,9.063439,1.565523,0.065723,0.591525
0.020000,8.975059,7.305918,9.306089,9.094793,1.567709,0.109268,0.590208
0.020000,9.126790,7.407372,9.488613,9.126216,1.571170,0.173063,0.588455
0.020000,9.279245,7.508875,9.671768,9.157736,1.576001,0.241530,0.586264
0.020000,9.432473,7.610360,9.855555,9.189361,1.581228,0.261387,0.583634
0.020000,9.586519,7.711757,10.039978,9.221119,1.587879,0.332540,0.580563
0.020000,9.741433,7.812995,10.225038,9.253034,1.595766,0.394353,0.577049
0.020000,9.897262,7.914003,10.410741,9.285104,1.603515,0.387418,0.573089
0.020000,10.054055,8.014706,10.597088,9.317355,1.612523,0.450406,0.568681
0.020000,10.211861,8.115030,10.784084,9.349812,1.622851,0.516416,0.563822
0.020000,10.370727,8.214898,10.971733,9.382454,1.632095,0.462176,0.558510
0.020000,10.530703,8.314230,11.160039,9.415301,1.642381,0.514332,0.552742
0.020000,10.691835,8.412947,11.349006,9.448369,1.653396,0.550755,0.546514
0.020000,10.854172,8.510965,11.538639,9.481638,1.663430,0.501686,0.539825
0.020000,11.017758,8.608199,11.728941,9.515100,1.673122,0.484593,0.532670
