dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.583200,2.219726,0.002000,0.200000,10.000000,500.000000,6.281546
0.020000,0.583200,2.219726,0.008000,0.400000,10.000000,0.000000,6.282151
0.020000,0.583200,2.219726,0.018000,0.600000,10.000000,-0.000000,6.283159
0.020000,0.596940,2.219735,0.032000,0.800000,10.000000,0.000000,0.001385
0.020000,0.614940,2.219776,0.050000,1.000000,10.000000,-0.000000,0.003202
0.020000,0.636939,2.219871,0.072000,1.200000,10.000000,0.000000,0.005423
0.020000,0.662939,2.220046,0.098000,1.400000,10.000000,0.000000,0.008050
0.020000,0.692936,2.220333,0.128000,1.600000,10.000000,0.000000,0.011085
0.020000,0.726934,2.220769,0.162000,1.800000,10.000000,-0.000000,0.014528
0.020000,0.764928,2.221394,0.200000,2.000000,10.000000,0.000000,0.018381
0.020000,0.806921,2.222256,0.242000,2.200000,10.000000,-0.000000,0.022644
0.020000,0.852906,2.223405,0.288000,2.400000,10.000000,0.000000,0.027319
0.020000,0.902884,2.224897,0.338000,2.600000,10.000000,-0.000000,0.032407
0.020000,0.956851,2.226796,0.392000,2.800000,10.000000,0.000000,0.037908
0.020000,1.014801,2.229165,0.450000,3.000000,10.000000,0.000000,0.043824
0.020000,1.076733,2.232077,0.512000,3.200000,10.000000,0.000000,0.050156
0.020000,1.142637,2.235608,0.578000,3.400000,10.000000,-0.000000,0.056901
0.020000,1.212509,2.239840,0.648000,3.600000,10.000000,0.000000,0.064062
0.020000,1.286339,2.244857,0.722000,3.800000,10.000000,-0.000000,0.071636
0.020000,1.364117,2.250750,0.800000,4.000000,10.000000,0.000000,0.079623
0.020000,1.445828,2.257615,0.882000,4.200000,10.000000,0.000000,0.088019
0.020000,1.531460,2.265552,0.968000,4.400000,10.000000,-0.000000,0.096823
0.020000,1.620998,2.274665,1.058000,4.600000,10.000000,0.000000,0.106029
0.020000,1.714421,2.285062,1.152000,4.800000,10.000000,0.000000,0.115633
0.020000,1.811708,2.296855,1.250000,5.000000,10.000000,0.000000,0.125628
0.020000,1.912835,2.310160,1.352000,5.200000,10.000000,-0.000000,0.136008
0.020000,2.017778,2.325098,1.458000,5.400000,10.000000,0.000000,0.146763
0.020000,2.126504,2.341789,1.568000,5.600000,10.000000,0.000000,0.157882
0.020000,2.238980,2.360359,1.682000,5.800000,10.000000,0.000000,0.169354
0.020000,2.355171,2.380934,1.800000,6.000000,10.000000,-0.000000,0.181165
0.020000,2.475038,2.403644,1.922000,6.200000,10.000000,0.000000,0.193300
0.020000,2.598538,2.428618,2.048000,6.400000,10.000000,0.000000,0.205739
0.020000,2.725623,2.455986,2.178000,6.600000,10.000000,-0.000000,0.218465
0.020000,2.856245,2.485878,2.312000,6.800000,10.000000,0.000000,0.231456
0.020000,2.990352,2.518424,2.450000,7.000000,10.000000,0.000000,0.244689
0.020000,3.127886,2.553752,2.592000,7.200000,10.000000,0.000000,0.258137
0.020000,3.268789,2.591986,2.738000,7.400000,10.000000,-0.000000,0.271774
0.020000,3.413000,2.633250,2.888000,7.600000,10.000000,0.000000,0.285571
0.020000,3.560456,2.677663,3.042000,7.800000,10.000000,0.000000,0.299495
0.020000,3.711090,2.725340,3.200000,8.000000,10.000000,-0.000000,0.313515
0.020000,3.864835,2.776388,3.362000,8.200000,10.000000,0.000000,0.327597
0.020000,4.021623,2.830913,3.528000,8.400000,10.000000,0.000000,0.341703
0.020000,4.181386,2.889011,3.698000,8.600000,10.000000,-0.000000,0.355799
0.020000,4.344055,2.950770,3.872000,8.800000,10.000000,0.000000,0.369845
0.020000,4.509563,3.016274,4.050000,9.000000,10.000000,0.000000,0.383802
