dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.580840,0.779728,0.002000,0.200000,10.000000,500.000000,6.281546
0.020000,0.581711,0.779726,0.002871,0.043553,-7.822343,-891.117135,6.282151
0.020000,0.583162,0.779726,0.004323,0.072585,1.451584,463.696337,6.283159
0.020000,0.598935,0.779737,0.020095,0.788632,35.802351,1717.538341,0.001385
0.020000,0.619550,0.779784,0.040711,1.030763,12.106559,-1184.789585,0.003202
0.020000,0.644747,0.779892,0.065908,1.259876,11.455654,-32.545236,0.005423
0.020000,0.674532,0.780093,0.095693,1.489257,11.469066,0.670591,0.008050
0.020000,0.708898,0.780422,0.130062,1.718409,11.457585,-0.574070,0.011085
0.020000,0.747854,0.780921,0.169020,1.947925,11.475813,0.911418,0.014528
0.020000,0.791395,0.781637,0.212567,2.177344,11.470935,-0.243916,0.018381
0.020000,0.839525,0.782625,0.260708,2.407030,11.484312,0.668853,0.022644
0.020000,0.892240,0.783942,0.313439,2.636558,11.476380,-0.396605,0.027319
0.020000,0.949542,0.785654,0.370766,2.866365,11.490330,0.697501,0.032407
0.020000,1.011426,0.787830,0.432688,3.096111,11.487315,-0.150763,0.037908
0.020000,1.077888,0.790548,0.499206,3.325909,11.489888,0.128664,0.043824
0.020000,1.148927,0.793888,0.570324,3.555863,11.497723,0.391773,0.050156
0.020000,1.224531,0.797939,0.646036,3.785630,11.488348,-0.468789,0.056901
0.020000,1.304696,0.802793,0.726347,4.015558,11.496380,0.401631,0.064062
0.020000,1.389407,0.808550,0.811255,4.245359,11.490069,-0.315571,0.071636
0.020000,1.478653,0.815312,0.900756,4.475059,11.485002,-0.253331,0.079623
0.020000,1.572412,0.823190,0.994846,4.704491,11.471619,-0.669139,0.088019
0.020000,1.670667,0.832297,1.093521,4.933793,11.465100,-0.325958,0.096823
0.020000,1.773393,0.842752,1.196779,5.162856,11.453107,-0.599647,0.106029
0.020000,1.880562,0.854678,1.304608,5.391494,11.431921,-1.059330,0.115633
0.020000,1.992137,0.868203,1.417001,5.619628,11.406700,-1.261016,0.125628
0.020000,2.108084,0.883459,1.533947,5.847280,11.382583,-1.205884,0.136008
0.020000,2.228358,0.900578,1.655433,6.074338,11.352901,-1.484083,0.146763
0.020000,2.352911,0.919699,1.781445,6.300596,11.312912,-1.999472,0.157882
0.020000,2.481686,0.940960,1.911964,6.525921,11.266280,-2.331604,0.169354
0.020000,2.614624,0.964501,2.046970,6.750321,11.219958,-2.316062,0.181165
0.020000,2.751659,0.990463,2.186443,6.973633,11.165631,-2.716373,0.193300
0.020000,2.892717,1.018987,2.330356,7.195644,11.100514,-3.255848,0.205739
0.020000,3.037717,1.050213,2.478680,7.416202,11.027946,-3.628395,0.218465
0.020000,3.186574,1.084278,2.631385,7.635277,10.953723,-3.711134,0.231456
0.020000,3.339198,1.121318,2.788439,7.852687,10.870504,-4.160950,0.244689
0.020000,3.495489,1.161463,2.949804,8.068231,10.777194,-4.665490,0.258137
0.020000,3.655344,1.204840,3.115439,8.281787,10.677829,-4.968250,0.271774
0.020000,3.818655,1.251569,3.285305,8.493261,10.573694,-5.206785,0.285571
0.020000,3.985310,1.301764,3.459355,8.702509,10.462376,-5.565895,0.299495
0.020000,4.155192,1.355532,3.637542,8.909372,10.343157,-5.960952,0.313515
0.020000,4.328181,1.412970,3.819818,9.113780,10.220390,-6.138365,0.327597
0.020000,4.504156,1.474166,4.006130,9.315606,10.091310,-6.453979,0.341703
0.020000,4.682995,1.539200,4.196425,9.514780,9.958709,-6.630024,0.355799
0.020000,4.864573,1.608138,4.390650,9.711213,9.821618,-6.854594,0.369845
0.020000,5.048769,1.681037,4.588747,9.904876,9.683196,-6.921087,0.383802
0.020000,5.233421,1.757085,4.788446,9.984926,4.002499,-284.034848,0.397483
0.020000,5.416442,1.835359,4.987502,9.952825,-1.605091,-280.379481,0.410718
0.020000,5.597832,1.915742,5.185905,9.920142,-1.634152,-1.453081,0.423498
0.020000,5.777595,1.998119,5.383645,9.886982,-1.657990,-1.191887,0.435818
0.020000,5.955744,2.082375,5.580714,9.853443,-1.676921,-0.946526,0.447673
0.020000,6.132293,2.168400,5.777106,9.819621,-1.691143,-0.711130,0.459057
0.020000,6.307264,2.256083,5.972818,9.785596,-1.701245,-0.505075,0.469969
0.020000,6.480682,2.345316,6.167847,9.751443,-1.707641,-0.319825,0.480406
0.020000,6.652575,2.435994,6.362191,9.717220,-1.711162,-0.176031,0.490368
0.020000,6.822976,2.528014,6.555851,9.682995,-1.711250,-0.004397,0.499855
0.020000,6.991921,2.621275,6.748827,9.648818,-1.708807,0.122150,0.508866
0.020000,7.159446,2.715681,6.941122,9.614730,-1.704409,0.219874,0.517405
0.020000,7.325593,2.811136,7.132737,9.580760,-1.698521,0.294440,0.525471
0.020000,7.490403,2.907548,7.323676,9.546934,-1.691305,0.360759,0.533068
0.020000,7.653920,3.004826,7.513942,9.513292,-1.682079,0.461339,0.540197
0.020000,7.816191,3.102884,7.703539,9.479840,-1.672595,0.474200,0.546862
0.020000,7.977259,3.201636,7.892470,9.446580,-1.663023,0.478556,0.553065
0.020000,8.137174,3.301000,8.080741,9.413526,-1.652690,0.516668,0.558808
0.020000,8.295982,3.400894,8.268354,9.380690,-1.641824,0.543327,0.564096
0.020000,8.453732,3.501240,8.455316,9.348057,-1.631616,0.510360,0.568930
0.020000,8.610472,3.601962,8.641628,9.315611,-1.622309,0.465353,0.573314
0.020000,8.766251,3.702984,8.827295,9.283372,-1.611967,0.517106,0.577249
0.020000,8.921117,3.804233,9.012321,9.251311,-1.603056,0.445557,0.580740
0.020000,9.075118,3.905636,9.196710,9.219402,-1.595434,0.381124,0.583787
0.020000,9.228302,4.007124,9.380463,9.187654,-1.587410,0.401174,0.586393
0.020000,9.380717,4.108626,9.563583,9.156035,-1.580911,0.324938,0.588561
0.020000,9.532411,4.210075,9.746074,9.124520,-1.575783,0.256405,0.590290
0.020000,9.683429,4.311403,9.927936,9.093102,-1.570903,0.244020,0.591583
0.020000,9.833817,4.412543,10.109171,9.061750,-1.567567,0.166782,0.592441
0.020000,9.983622,4.513430,10.289780,9.030442,-1.565440,0.106357,0.592864
0.020000,10.132887,4.613998,10.469763,8.999158,-1.564170,0.063503,0.592852
0.020000,10.281656,4.714182,10.649120,8.967872,-1.564298,-0.006386,0.592406
0.020000,10.429972,4.813918,10.827851,8.936565,-1.565374,-0.053796,0.591525
0.020000,10.577876,4.913142,11.005956,8.905207,-1.567877,-0.125183,0.590208
0.020000,10.725410,5.011790,11.183431,8.873780,-1.571359,-0.174105,0.588455
0.020000,10.872614,5.109797,11.360277,8.842267,-1.575664,-0.215227,0.586264
0.020000,11.019526,5.207099,11.536489,8.810634,-1.581633,-0.298478,0.583634
0.020000,11.166184,5.303633,11.712067,8.778871,-1.588152,-0.325920,0.580563
0.020000,11.312625,5.399335,11.887006,8.746966,-1.595262,-0.355520,0.577049
0.020000,11.458884,5.494140,12.061304,8.714884,-1.604086,-0.441185,0.573089
0.020000,11.604995,5.587983,12.234956,8.682622,-1.613087,-0.450060,0.568681
0.020000,11.750993,5.680801,12.407960,8.650182,-1.621992,-0.445246,0.563822
0.020000,11.896907,5.772527,12.580310,8.617527,-1.632757,-0.538224,0.558510
0.020000,12.042769,5.863097,12.752004,8.584666,-1.643092,-0.516758,0.552742
0.020000,12.188608,5.952445,12.923036,8.551606,-1.652965,-0.493682,0.546514
0.020000,12.334451,6.040505,13.093402,8.518335,-1.663549,-0.529174,0.539825
0.020000,12.480324,6.127212,13.263100,8.484859,-1.673825,-0.513785,0.532670
0.020000,12.626253,6.212499,13.432123,8.451194,-1.683244,-0.470948,0.525048
0.020000,12.772261,6.296300,13.600471,8.417369,-1.691220,-0.398813,0.516957
0.020000,12.918369,6.378548,13.768139,8.383385,-1.699237,-0.400869,0.508393
