dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.111659,10.850988,0.002000,0.200000,10.000000,500.000000,0.001940
0.020000,9.114656,10.850991,0.004997,0.149857,-2.507142,-625.357108,6.283140
0.020000,9.129433,10.850966,0.019774,0.738845,29.449380,1597.826117,6.279823
0.020000,9.150142,10.850848,0.040484,1.035482,14.831883,-730.874866,6.275163
0.020000,9.176813,10.850553,0.067156,1.333636,14.907693,3.790511,6.269141
0.020000,9.209471,10.849974,0.099819,1.633123,14.974321,3.331403,6.261736
0.020000,9.248150,10.848974,0.138511,1.934616,15.074677,5.017812,6.252922
0.020000,9.292884,10.847390,0.183273,2.238088,15.173586,4.945446,6.242671
0.020000,9.343705,10.845032,0.234149,2.543780,15.284613,5.551356,6.230951
0.020000,9.400644,10.841678,0.291187,2.851929,15.407438,6.141222,6.217729
0.020000,9.463724,10.837076,0.354435,3.162381,15.522619,5.759041,6.202974
0.020000,9.532951,10.830943,0.423933,3.474909,15.626372,5.187680,6.186655
0.020000,9.608317,10.822964,0.499720,3.789341,15.721585,4.760639,6.168747
0.020000,9.689789,10.812794,0.581824,4.105192,15.792568,3.549156,6.149230
0.020000,9.777300,10.800059,0.670257,4.421648,15.822824,1.512774,6.128094
0.020000,9.870745,10.784359,0.765011,4.737729,15.804010,-0.940706,6.105346
0.020000,9.969974,10.765275,0.866059,5.052377,15.732425,-3.579246,6.081006
0.020000,10.074776,10.742375,0.973333,5.363722,15.567258,-8.258345,6.055118
0.020000,10.184882,10.715226,1.086738,5.670223,15.325035,-12.111144,6.027752
0.020000,10.299952,10.683402,1.206127,5.969488,14.963238,-18.089861,5.999006
0.020000,10.419578,10.646503,1.331315,6.259368,14.494000,-23.461896,5.969012
0.020000,10.543282,10.604168,1.462063,6.537392,13.901220,-29.638994,5.937933
0.020000,10.670524,10.556089,1.598084,6.801073,13.184059,-35.858024,5.905970
0.020000,10.800709,10.502032,1.739046,7.048121,12.352374,-41.584246,5.873352
0.020000,10.933208,10.441841,1.884576,7.276481,11.417994,-46.719011,5.840341
0.020000,11.067374,10.375456,2.034268,7.484576,10.404794,-50.660012,5.807217
0.020000,11.202564,10.302907,2.187694,7.671334,9.337901,-53.344656,5.774277
0.020000,11.338164,10.224321,2.344421,7.836317,8.249145,-54.437778,5.741823
0.020000,11.473608,10.139910,2.504015,7.979706,7.169443,-53.985098,5.710156
0.020000,11.608396,10.049961,2.666060,8.102246,6.126998,-52.122257,5.679565
0.020000,11.742109,9.954826,2.830163,8.205165,5.145939,-49.052978,5.650322
0.020000,11.874416,9.854903,2.995963,8.289996,4.241559,-45.219000,5.622680
0.020000,12.005072,9.750624,3.163131,8.358429,3.421631,-40.996369,5.596865
0.020000,12.133925,9.642445,3.331375,8.412169,2.686999,-36.731626,5.573082
0.020000,12.260900,9.530835,3.500429,8.452712,2.027161,-32.991870,5.551515
0.020000,12.385995,9.416274,3.670055,8.481305,1.429638,-29.876152,5.532328
0.020000,12.509270,9.299247,3.840031,8.498817,0.875632,-27.700299,5.515676
