dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.114453,9.410991,0.002000,0.200000,10.000000,500.000000,0.001940
0.020000,9.114590,9.410991,0.008000,0.400000,10.000000,0.000000,6.283140
0.020000,9.124591,9.410974,0.018000,0.600000,10.000000,-0.000000,6.279823
0.020000,9.138590,9.410894,0.032000,0.800000,10.000000,0.000000,6.275163
0.020000,9.156590,9.410695,0.050000,1.000000,10.000000,-0.000000,6.269141
0.020000,9.178586,9.410305,0.072000,1.200000,10.000000,0.000000,6.261736
0.020000,9.204578,9.409633,0.098000,1.400000,10.000000,0.000000,6.252922
0.020000,9.234559,9.408572,0.128000,1.600000,10.000000,0.000000,6.242671
0.020000,9.268521,9.406996,0.162000,1.800000,10.000000,-0.000000,6.230951
0.020000,9.306455,9.404762,0.200000,2.000000,10.000000,0.000000,6.217729
0.020000,9.348344,9.401706,0.242000,2.200000,10.000000,-0.000000,6.202974
0.020000,9.394164,9.397647,0.288000,2.400000,10.000000,0.000000,6.186655
0.020000,9.443885,9.392383,0.338000,2.600000,10.000000,-0.000000,6.168747
0.020000,9.497469,9.385695,0.392000,2.800000,10.000000,0.000000,6.149230
0.020000,9.554863,9.377342,0.450000,3.000000,10.000000,0.000000,6.128094
0.020000,9.616004,9.367070,0.512000,3.200000,10.000000,0.000000,6.105346
0.020000,9.680815,9.354606,0.578000,3.400000,10.000000,-0.000000,6.081006
0.020000,9.749199,9.339664,0.648000,3.600000,10.000000,0.000000,6.055118
0.020000,9.821045,9.321948,0.722000,3.800000,10.000000,-0.000000,6.027752
0.020000,9.896220,9.301157,0.800000,4.000000,10.000000,0.000000,5.999006
0.020000,9.974574,9.276988,0.882000,4.200000,10.000000,0.000000,5.969012
0.020000,10.055938,9.249142,0.968000,4.400000,10.000000,-0.000000,5.937933
0.020000,10.140124,9.217330,1.058000,4.600000,10.000000,0.000000,5.905970
0.020000,10.226932,9.181282,1.152000,4.800000,10.000000,0.000000,5.873352
0.020000,10.316152,9.140749,1.250000,5.000000,10.000000,0.000000,5.840341
0.020000,10.407567,9.095512,1.352000,5.200000,10.000000,-0.000000,5.807217
0.020000,10.500961,9.045388,1.458000,5.400000,10.000000,0.000000,5.774277
0.020000,10.596127,8.990230,1.568000,5.600000,10.000000,0.000000,5.741823
0.020000,10.692869,8.929932,1.682000,5.800000,10.000000,0.000000,5.710156
0.020000,10.791014,8.864430,1.800000,6.000000,10.000000,-0.000000,5.679565
0.020000,10.890413,8.793700,1.922000,6.200000,10.000000,0.000000,5.650322
0.020000,10.990953,8.717761,2.048000,6.400000,10.000000,0.000000,5.622680
0.020000,11.092552,8.636664,2.178000,6.600000,10.000000,-0.000000,5.596865
0.020000,11.195172,8.550500,2.312000,6.800000,10.000000,0.000000,5.573082
0.020000,11.298817,8.459390,2.450000,7.000000,10.000000,0.000000,5.551515
0.020000,11.403532,8.363484,2.592000,7.200000,10.000000,0.000000,5.532328
0.020000,11.509414,8.262962,2.738000,7.400000,10.000000,-0.000000,5.515676
0.020000,11.616602,8.158032,2.888000,7.600000,10.000000,0.000000,5.501709
0.020000,11.725287,8.048930,3.042000,7.800000,10.000000,0.000000,5.490576
0.020000,11.835712,7.935924,3.200000,8.000000,10.000000,-0.000000,5.482438
0.020000,11.948169,7.819317,3.362000,8.200000,10.000000,0.000000,5.477474
0.020000,12.063011,7.699452,3.528000,8.400000,10.000000,0.000000,5.475888
0.020000,12.180645,7.576724,3.698000,8.600000,10.000000,-0.000000,5.477921
0.020000,12.301543,7.451586,3.872000,8.800000,10.000000,0.000000,5.483855
0.020000,12.426245,7.324570,4.050000,9.000000,10.000000,0.000000,5.494028
0.020000,12.553928,7.197697,4.230000,9.000000,0.000000,-500.000000,5.508650
0.020000,12.683731,7.072997,4.410000,9.000000,0.000000,0.000000,5.527785
0.020000,12.816180,6.951113,4.590000,9.000000,0.000000,0.000000,5.551621
0.020000,12.951783,6.832751,4.770000,9.000000,0.000000,0.000000,5.580359
0.020000,13.091019,6.718688,4.950000,9.000000,0.000000,0.000000,5.614189
0.020000,13.234316,6.609776,5.130000,9.000000,0.000000,0.000000,5.653260
0.020000,13.382027,6.506937,5.310000,9.000000,0.000000,0.000000,5.697631
0.020000,13.534404,6.411152,5.490000,9.000000,0.000000,0.000000,5.747220
0.020000,13.691558,6.323433,5.670000,9.000000,0.000000,0.000000,5.801744
0.020000,13.853433,6.244776,5.850000,9.000000,0.000000,0.000000,5.860671
0.020000,14.019786,6.176102,6.030000,9.000000,0.000000,0.000000,5.923196
0.020000,14.190182,6.118190,6.210000,9.000000,0.000000,0.000000,5.988267
0.020000,14.364017,6.071614,6.390000,9.000000,0.000000,0.000000,6.054649
0.020000,14.540563,6.036692,6.570000,9.000000,0.000000,0.000000,6.121040
0.020000,14.719025,6.013467,6.750000,9.000000,0.000000,0.000000,6.186203
0.020000,14.898613,6.001720,6.930000,9.000000,0.000000,0.000000,6.249082
0.020000,15.071593,6.000000,7.110000,9.000000,0.000000,0.000000,0.000000
0.020000,15.251593,6.000000,7.290000,9.000000,0.000000,0.000000,0.000000
0.020000,15.431593,6.000000,7.470000,9.000000,0.000000,0.000000,0.000000
0.020000,15.611593,6.000000,7.650000,9.000000,0.000000,0.000000,0.000000
0.020000,15.791593,6.000000,7.830000,9.000000,0.000000,0.000000,0.000000
0.020000,15.971593,6.000000,8.010000,9.000000,0.000000,0.000000,0.000000
0.020000,16.151593,6.000000,8.190000,9.000000,0.000000,0.000000,0.000000
0.020000,16.331593,6.000000,8.370000,9.000000,0.000000,0.000000,0.000000
0.020000,16.511593,6.000000,8.550000,9.000000,0.000000,0.000000,0.000000
0.020000,16.691593,6.000000,8.730000,9.000000,0.000000,0.000000,0.000000
0.020000,16.871593,6.000000,8.910000,9.000000,0.000000,0.000000,0.000000
0.020000,17.051593,6.000000,9.090000,9.000000,0.000000,0.000000,0.000000
0.020000,17.231593,6.000000,9.270000,9.000000,0.000000,0.000000,0.000000
0.020000,17.411593,6.000000,9.450000,9.000000,0.000000,0.000000,0.000000
0.020000,17.591593,6.000000,9.630000,9.000000,0.000000,0.000000,0.000000
0.020000,17.771593,6.000000,9.810000,9.000000,0.000000,0.000000,0.000000
0.020000,17.951593,6.000000,9.990000,9.000000,0.000000,0.000000,0.000000
0.020000,18.131593,6.000000,10.170000,9.000000,0.000000,0.000000,0.000000
0.020000,18.311593,6.000000,10.350000,9.000000,0.000000,0.000000,0.000000
0.020000,18.491593,6.000000,10.530000,9.000000,0.000000,0.000000,0.000000
0.020000,18.671593,6.000000,10.710000,9.000000,0.000000,0.000000,0.000000
0.020000,18.851593,6.000000,10.890000,9.000000,0.000000,0.000000,0.000000
0.020000,19.031593,6.000000,11.070000,9.000000,0.000000,0.000000,0.000000
0.020000,19.211593,6.000000,11.250000,9.000000,0.000000,0.000000,0.000000
0.020000,19.391593,6.000000,11.430000,9.000000,0.000000,0.000000,0.000000
0.020000,19.571593,6.000000,11.610000,9.000000,0.000000,0.000000,0.000000
0.020000,19.751593,6.000000,11.790000,9.000000,0.000000,0.000000,0.000000
0.020000,19.931593,6.000000,11.970000,9.000000,0.000000,0.000000,0.000000
0.020000,20.111593,6.000000,12.150000,9.000000,0.000000,0.000000,0.000000
0.020000,20.291593,6.000000,12.330000,9.000000,0.000000,0.000000,0.000000
0.020000,20.471593,6.000000,12.510000,9.000000,0.000000,0.000000,0.000000
0.020000,20.651593,6.000000,12.690000,9.000000,0.000000,0.000000,0.000000
0.020000,20.831593,6.000000,12.870000,9.000000,0.000000,0.000000,0.000000
0.020000,21.011593,6.000000,13.050000,9.000000,0.000000,0.000000,0.000000
0.020000,21.191593,6.000000,13.230000,9.000000,0.000000,0.000000,0.000000
0.020000,21.371593,6.000000,13.410000,9.000000,0.000000,0.000000,0.000000
0.020000,21.551593,6.000000,13.590000,9.000000,0.000000,0.000000,0.000000
0.020000,21.731593,6.000000,13.770000,9.000000,0.000000,0.000000,0.000000
0.020000,21.911593,6.000000,13.950000,9.000000,0.000000,0.000000,0.000000
0.020000,22.084748,6.000604,14.130000,9.000000,0.000000,0.000000,0.014364
0.020000,22.264656,6.006077,14.310000,9.000000,0.000000,0.000000,0.046938
0.020000,22.444272,6.017677,14.490000,9.000000,0.000000,0.000000,0.082595
0.020000,22.623328,6.035975,14.670000,9.000000,0.000000,0.000000,0.121685
0.020000,22.801482,6.061590,14.850000,9.000000,0.000000,0.000000,0.164577
