dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.117246,7.970993,0.002000,0.200000,10.000000,500.000000,0.001940
0.020000,9.114525,7.970991,0.004722,0.136087,-3.195652,-659.782609,6.283140
0.020000,9.119750,7.970982,0.009947,0.261265,6.258900,472.727600,6.279823
0.020000,9.127039,7.970940,0.017236,0.364435,5.158518,-55.019106,6.275163
0.020000,9.136367,7.970837,0.026565,0.466453,5.100893,-2.881238,6.269141
0.020000,9.147702,7.970636,0.037901,0.566828,5.018730,-4.108135,6.261736
0.020000,9.161006,7.970292,0.051210,0.665416,4.929414,-4.465834,6.252922
0.020000,9.176234,7.969754,0.066448,0.761894,4.823885,-5.276448,6.242671
0.020000,9.193338,7.968960,0.083570,0.856116,4.711106,-5.638947,6.230951
0.020000,9.212266,7.967845,0.102531,0.948042,4.596330,-5.738785,6.217729
0.020000,9.232964,7.966336,0.123284,1.037641,4.479951,-5.818942,6.202974
0.020000,9.255377,7.964350,0.145784,1.125031,4.369498,-5.522665,6.186655
0.020000,9.279453,7.961802,0.169995,1.210561,4.276502,-4.649795,6.168747
0.020000,9.305149,7.958595,0.195890,1.294732,4.208512,-3.399489,6.149230
0.020000,9.332426,7.954626,0.223455,1.378235,4.175149,-1.668180,6.128094
0.020000,9.361263,7.949781,0.252696,1.462048,4.190672,0.776185,6.105346
0.020000,9.391656,7.943937,0.283646,1.547494,4.272308,4.081786,6.081006
0.020000,9.423622,7.936952,0.316366,1.636031,4.426839,7.726552,6.055118
0.020000,9.457208,7.928670,0.350958,1.729600,4.678460,12.581044,6.027752
0.020000,9.492489,7.918913,0.387563,1.830231,5.031542,17.654125,5.999006
0.020000,9.529570,7.907473,0.426369,1.940302,5.503528,23.599290,5.969012
0.020000,9.568593,7.894116,0.467614,2.062253,6.097573,29.702242,5.937933
0.020000,9.609724,7.878571,0.511585,2.198529,6.813775,35.810107,5.905970
0.020000,9.653155,7.860532,0.558614,2.351455,7.646343,41.628396,5.873352
0.020000,9.699096,7.839656,0.609075,2.523058,8.580145,46.690086,5.840341
0.020000,9.747760,7.815569,0.663374,2.714948,9.594496,50.717574,5.807217
0.020000,9.799359,7.787869,0.721937,2.928177,10.661438,53.347102,5.774277
0.020000,9.854090,7.756139,0.785201,3.163191,11.750702,54.463174,5.741823
0.020000,9.912130,7.719954,0.853597,3.419812,12.831034,54.016589,5.710156
0.020000,9.973631,7.678898,0.927543,3.697285,13.873645,52.130552,5.679565
0.020000,10.038717,7.632574,1.007431,3.994396,14.855560,49.095762,5.650322
0.020000,10.107490,7.580618,1.093623,4.309603,15.760352,45.239603,5.622680
0.020000,10.180031,7.522705,1.186447,4.641205,16.580112,40.988009,5.596865
0.020000,10.256419,7.458556,1.286198,4.987526,17.316056,36.797194,5.573082
0.020000,10.336733,7.387944,1.393138,5.347023,17.974853,32.939831,5.551515
0.020000,10.421070,7.310694,1.507507,5.718464,18.572051,29.859901,5.532328
0.020000,10.509557,7.226676,1.629528,6.101020,19.127771,27.786009,5.515676
0.020000,10.602369,7.135812,1.759413,6.494283,19.663162,26.769582,5.501709
0.020000,10.699738,7.038065,1.897382,6.898405,20.206112,27.147474,5.490576
0.020000,10.801970,6.933438,2.043663,7.314077,20.783605,28.874656,5.482438
0.020000,10.909464,6.821975,2.198515,7.742579,21.425065,32.072998,5.477474
0.020000,11.022725,6.703759,2.362231,8.185816,22.161859,36.839701,5.475888
0.020000,11.142384,6.578918,2.535157,8.646317,23.025067,43.160398,5.477921
0.020000,11.269223,6.447637,2.717703,9.127258,24.047053,51.099289,5.483855
0.020000,11.404191,6.310171,2.910351,9.632426,25.258382,60.566437,5.494028
0.020000,11.546814,6.168463,3.111404,10.052663,21.011865,-212.325837,5.508650
0.020000,11.696496,6.024681,3.318956,10.377602,16.246948,-238.245824,5.527785
0.020000,11.854210,5.879565,3.533275,10.715944,16.917114,33.508292,5.551621
0.020000,12.021000,5.734005,3.754650,11.068719,17.638734,36.080968,5.580359
0.020000,12.197932,5.589088,3.983354,11.435234,18.325761,34.351372,5.614189
0.020000,12.386034,5.446153,4.219601,11.812358,18.856192,26.521574,5.653260
0.020000,12.586195,5.306832,4.463476,12.193734,19.068800,10.630382,5.697631
0.020000,12.799038,5.173074,4.714858,12.569118,18.769192,-14.980392,5.747220
0.020000,13.024756,5.047120,4.973340,12.924093,17.748763,-51.021486,5.801744
0.020000,13.262953,4.931408,5.238156,13.240783,15.834509,-95.712655,5.860671
