dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.011730,0.469200,9.383995,187.679904,0.000000
0.050000,0.000000,0.000000,0.058650,1.407599,18.767990,187.679904,0.000000
0.050000,0.044220,0.000000,0.164220,2.815199,28.151986,187.679904,0.000000
0.050000,0.231900,0.000000,0.351900,4.691998,37.535981,187.679904,0.000000
0.050000,0.525150,0.000000,0.645150,7.037996,46.919976,187.679904,0.000000
0.050000,0.947429,0.000000,1.067429,9.853195,56.303971,187.679904,0.000000
0.050000,1.522199,0.000000,1.642199,13.137593,65.687966,187.679904,0.000000
0.050000,2.272919,0.000000,2.392919,16.891191,75.071962,187.679904,0.000000
0.050000,3.223048,0.000000,3.343048,21.113989,84.455957,187.679904,0.000000
0.050000,4.384318,0.000000,4.504318,25.336787,84.455957,0.000000,0.000000
0.050000,5.756727,0.000000,5.876727,29.559585,84.455957,-0.000000,0.000000
0.050000,7.340276,0.000000,7.460276,33.782383,84.455957,0.000000,0.000000
0.050000,9.134965,0.000000,9.254965,38.005181,84.455957,0.000000,0.000000
0.050000,11.140794,0.000000,11.260794,42.227978,84.455957,0.000000,0.000000
0.050000,13.357763,0.000000,13.477763,46.450776,84.455957,0.000000,0.000000
0.050000,15.785872,0.000000,15.905872,50.673574,84.455957,0.000000,0.000000
0.050000,18.425121,0.000000,18.545121,54.896372,84.455957,0.000000,0.000000
0.050000,21.275509,0.000000,21.395509,59.119170,84.455957,-0.000000,0.000000
0.050000,24.337037,0.000000,24.457037,63.341968,84.455957,0.000000,0.000000
0.050000,27.609706,0.000000,27.729706,67.564765,84.455957,-0.000000,0.000000
0.050000,31.081784,0.000000,31.201784,71.318364,75.071962,-187.679904,0.000000
0.050000,34.729812,0.000000,34.849812,74.602762,65.687966,-187.679904,0.000000
0.050000,38.530330,0.000000,38.650330,77.417960,56.303971,-187.679904,0.000000
0.050000,42.459878,0.000000,42.579878,79.763959,46.919976,-187.679904,0.000000
0.050000,46.494996,0.000000,46.614996,81.640758,37.535981,-187.679904,0.000000
0.050000,50.612224,0.000000,50.732224,83.048358,28.151986,-187.679904,0.000000
0.050000,54.788102,0.000000,54.908102,83.986757,18.767990,-187.679904,0.000000
0.050000,58.999170,0.000000,59.119170,84.455957,9.383995,-187.679904,0.000000
0.050000,63.215464,0.000000,63.335464,84.195830,-5.202527,-291.730454,0.000000
0.050000,67.407023,0.000000,67.527023,83.466504,-14.586523,-187.679904,0.000000
0.050000,71.550385,0.000000,71.670385,82.267978,-23.970518,-187.679904,0.000000
0.050000,75.622091,0.000000,75.742091,80.600253,-33.354513,-187.679904,0.000000
0.050000,79.598680,0.000000,79.718680,78.463327,-42.738508,-187.679904,0.000000
0.050000,83.456693,0.000000,83.576693,75.857202,-52.122503,-187.679904,0.000000
0.050000,87.172670,0.000000,87.292670,72.781877,-61.506499,-187.679904,0.000000
0.050000,90.723151,0.000000,90.843151,69.237353,-70.890494,-187.679904,0.000000
0.050000,94.084676,0.000000,94.204676,65.223628,-80.274489,-187.679904,0.000000
0.050000,97.240287,0.000000,97.360287,61.000830,-84.455957,-83.629354,0.000000
0.050000,100.184759,0.000000,100.304759,56.778032,-84.455957,-0.000000,0.000000
0.050000,102.918090,0.000000,103.038090,52.555235,-84.455957,0.000000,0.000000
0.050000,105.440282,0.000000,105.560282,48.332437,-84.455957,0.000000,0.000000
0.050000,107.751334,0.000000,107.871334,44.109639,-84.455957,-0.000000,0.000000
0.050000,109.851246,0.000000,109.971246,39.886841,-84.455957,0.000000,0.000000
0.050000,111.740018,0.000000,111.860018,35.664043,-84.455957,-0.000000,0.000000
0.050000,113.417650,0.000000,113.537650,31.441245,-84.455957,-0.000000,0.000000
0.050000,114.884143,0.000000,115.004143,27.218448,-84.455957,0.000000,0.000000
0.050000,116.139495,0.000000,116.259495,22.995650,-84.455957,0.000000,0.000000
0.050000,117.183708,0.000000,117.303708,18.772852,-84.455957,-0.000000,0.000000
0.050000,118.023283,0.000000,118.143283,14.810180,-79.253429,104.050550,0.000000
0.050000,118.676456,0.000000,118.796456,11.316709,-69.869434,187.679904,0.000000
0.050000,119.166684,0.000000,119.286684,8.292437,-60.485439,187.679904,0.000000
0.050000,119.517429,0.000000,119.637429,5.737365,-51.101444,187.679904,0.000000
0.050000,119.752151,0.000000,119.872151,3.651492,-41.717449,187.679904,0.000000
0.050000,119.894309,0.000000,120.014309,2.034819,-32.333453,187.679904,0.000000
0.050000,119.967363,0.000000,120.087363,0.887347,-22.949458,187.679904,0.000000
0.050000,119.994773,0.000000,120.114773,0.209073,-13.565463,187.679904,0.000000
0.050000,120.000000,0.000000,120.120000,0.000000,-4.181468,187.679904,0.000000
0.050000,120.000000,0.000000,120.120000,0.000000,0.000000,83.629354,0.000000
