dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.000000,12.500000,0.001981,0.198116,9.905812,495.290601,0.000000
0.020000,9.000925,12.500000,0.007925,0.396232,9.905812,0.000000,0.000000
0.020000,9.010830,12.500000,0.017830,0.594349,9.905812,0.000000,0.000000
0.020000,9.024699,12.500000,0.031699,0.792465,9.905812,0.000000,0.000000
0.020000,9.042529,12.500000,0.049529,0.990581,9.905812,0.000000,0.000000
0.020000,9.064322,12.500000,0.071322,1.188697,9.905812,-0.000000,0.000000
0.020000,9.090077,12.500000,0.097077,1.386814,9.905812,0.000000,0.000000
0.020000,9.119794,12.500000,0.126794,1.584930,9.905812,0.000000,0.000000
0.020000,9.153474,12.500000,0.160474,1.783046,9.905812,0.000000,0.000000
0.020000,9.191116,12.500000,0.198116,1.981162,9.905812,0.000000,0.000000
0.020000,9.232721,12.500000,0.239721,2.179279,9.905812,0.000000,0.000000
0.020000,9.278287,12.500000,0.285287,2.377395,9.905812,-0.000000,0.000000
0.020000,9.327816,12.500000,0.334816,2.575511,9.905812,0.000000,0.000000
0.020000,9.381308,12.500000,0.388308,2.773627,9.905812,-0.000000,0.000000
0.020000,9.438762,12.500000,0.445762,2.971744,9.905812,0.000000,0.000000
0.020000,9.500178,12.500000,0.507178,3.169860,9.905812,-0.000000,0.000000
0.020000,9.565556,12.500000,0.572556,3.367976,9.905812,0.000000,0.000000
0.020000,9.634897,12.500000,0.641897,3.566092,9.905812,-0.000000,0.000000
0.020000,9.708200,12.500000,0.715200,3.764209,9.905812,0.000000,0.000000
0.020000,9.785465,12.500000,0.792465,3.962325,9.905812,-0.000000,0.000000
0.020000,9.866693,12.500000,0.873693,4.160441,9.905812,0.000000,0.000000
0.020000,9.951883,12.500000,0.958883,4.358557,9.905812,-0.000000,0.000000
0.020000,10.041035,12.500000,1.048035,4.556674,9.905812,0.000000,0.000000
0.020000,10.134150,12.500000,1.141150,4.754790,9.905812,-0.000000,0.000000
0.020000,10.231227,12.500000,1.238227,4.952906,9.905812,0.000000,0.000000
0.020000,10.332266,12.500000,1.339266,5.151022,9.905812,-0.000000,0.000000
0.020000,10.437267,12.500000,1.444267,5.349138,9.905812,0.000000,0.000000
0.020000,10.546231,12.500000,1.553231,5.547255,9.905812,-0.000000,0.000000
0.020000,10.659158,12.500000,1.666158,5.745371,9.905812,0.000000,0.000000
0.020000,10.776046,12.500000,1.783046,5.943487,9.905812,-0.000000,0.000000
0.020000,10.896897,12.500000,1.903897,6.141603,9.905812,0.000000,0.000000
